Nom base français;Nom attribut français;Nom frontière français;Tags français;Unité français;Sous-localisation géographique français;Incertitude;Total poste non décomposé;Code de la catégorie;Sous catégorie 1;Sous catégorie 2;Sous catégorie 3;Sous catégorie 4
Biopropane;à base de distillat d'acides gras d'huile de palme comme résidu;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,huile de palme;kgCO2e/litre;;20;0,0951;Combustibles ; Organiques ; Gazeux;;
Biopropane;à base de graisses animales;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,graisse animale;kgCO2e/kg;;20;0,651;Combustibles ; Organiques ; Gazeux;;
Biopropane;à base de graisses animales;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,graisse animale;kgCO2e/litre;;20;0,338;Combustibles ; Organiques ; Gazeux;;
Biopropane;mix annuel 2020;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,mix;kgCO2e/kg;;20;0,944;Combustibles ; Organiques ; Gazeux;;
Biopropane;mix annuel 2020;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,mix;kgCO2e/litre;;20;0,49;Combustibles ; Organiques ; Gazeux;;
Briquette de lignite;;;combustible solide,charbon,briquettes de lignite;kgCO2e/kg;;20;1,84;Combustibles ; Fossiles ; Solides ; Charbons;
Butane;inclus maritime;;combustible liquide,butane,Info GES;kgCO2e/kg;;5;3,44;Combustibles ; Fossiles ; Gazeux ; Propane et butane; Usage routier ou non-routier
Butane;inclus maritime;;combustible liquide,butane;kgCO2e/litre;;5;2;Combustibles ; Fossiles ; Gazeux ; Propane et butane; Usage routier ou non-routier
Carbureacteur;large coupe jet B;;combustible liquide,carbureacteur;kgCO2e/kg;;5;3,82;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage aérien
Carbureacteur;large coupe jet B;;combustible liquide,carbureacteur,Info GES;kgCO2e/litre;;5;3,01;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage aérien
Charbon à coke;PCS supérieur à 23865 kJ/kg;;combustible solide,charbon,charbon à coke;kgCO2e/kg;;20;2,72;Combustibles ; Fossiles ; Solides ; Charbons;
Charbon à vapeur;PCS supérieur à 23865 kJ/kg;;combustible solide,charbon,charbon à vapeur;kgCO2e/kg;;20;2,72;Combustibles ; Fossiles ; Solides ; Charbons;
Charbon sous-bitumineux;PCS entre 17 435 et 23 865 kJ/kg;;combustible solide,charbon,charbon sous-bitumineux;kgCO2e/kg;;20;2,12;Combustibles ; Fossiles ; Solides ; Charbons;
Coke de houille;;;combustible solide,coke de houille;kgCO2e/kg;;20;3,28;Combustibles ; Fossiles ; Solides ; Cokes;
Coke de lignite;;;combustible solide,coke de lignite;kgCO2e/kg;;20;2,01;Combustibles ; Fossiles ; Solides ; Cokes;
coke de pétrole;;;combustible solide,coke de pétrole;kgCO2e/kg;;20;3,49;Combustibles ; Fossiles ; Solides ; Cokes;
Combustible haute viscosité CHV;;;combustible liquide,combustible haute viscosité chv;kgCO2e/kg;;20;3,65;Combustibles ; Fossiles ; Liquides ; Usage source fixe; Usage routier ou non-routier
Connexes transformation bois écorces ou chutes issues de scierie ou papeterie;;;biocombustible,bois,Connexes transformation bois écorces ou chutes issues de scierie ou papeterie;kgCO2e/kg;;25;0,0256;Combustibles ; Organiques ; Solides;;
Déchets bois;"""""""Adjuvantés"""" Broyat criblé sans Sortie du Statut Déchet classés non dangereux""";;biocombustible,bois,Déchets bois;kgCO2e/kg;;25;0,0588;Combustibles ; Organiques ; Solides;;
Déchets bois;"""""""Propres"""" Broyat Sortie du Statut Déchet criblé""";;biocombustible,bois,Déchets bois;kgCO2e/kg;;25;0,0368;Combustibles ; Organiques ; Solides;;
Electricité;2020 - mix moyen;consommation;Electricité,France continentale,Mix électrique;kgCO2e/kWh;;10;0,0599;Electricité ; Mix réseau électrique ; France continentale ; Moyen;
Electricité;2020 - usage : Autres BTP. recherche. armée. etc.;consommation;Electricité,France continentale;kgCO2e/kWh;;30;0,0587;Electricité ; Mix réseau électrique ; France continentale ; Découpage par usages ; Méthode moyenne
Electricité;2020 - usage : chauffage;consommation;Electricité,France continentale,chauffage;kgCO2e/kWh;;30;0,0693;Electricité ; Mix réseau électrique ; France continentale ; Découpage par usages ; Méthode moyenne
Electricité;2020 - usage : Climatisation;consommation;climatisation,Electricité,France continentale;kgCO2e/kWh;;30;0,041;Electricité ; Mix réseau électrique ; France continentale ; Découpage par usages ; Méthode moyenne
Electricité;2020 - usage : Cuisson résidentiel;consommation;Electricité,France continentale,cuisson;kgCO2e/kWh;;30;0,0587;Electricité ; Mix réseau électrique ; France continentale ; Découpage par usages ; Méthode moyenne
Electricité;2020 - usage : Eau Chaude Sanitaire;consommation;Electricité,France continentale,Eau chaude sanitaire;kgCO2e/kWh;;30;0,0585;Electricité ; Mix réseau électrique ; France continentale ; Découpage par usages ; Méthode moyenne
Electricité;2020 - usage : Eclairage public;consommation;Electricité,France continentale,Eclairage public;kgCO2e/kWh;;30;0,0615;Electricité ; Mix réseau électrique ; France continentale ; Découpage par usages ; Méthode moyenne
Electricité;2020 - usage : Eclairage résidentiel;consommation;Electricité,France continentale,Eclairage résidentiel;kgCO2e/kWh;;30;0,0625;Electricité ; Mix réseau électrique ; France continentale ; Découpage par usages ; Méthode moyenne
Electricité;2020 - usage : Froid;consommation;Froid,Electricité,France continentale;kgCO2e/kWh;;30;0,0583;Electricité ; Mix réseau électrique ; France continentale ; Découpage par usages ; Méthode moyenne
Electricité;2020 - usage : Industrie base;consommation;Electricité,France continentale,Industrie;kgCO2e/kWh;;30;0,0583;Electricité ; Mix réseau électrique ; France continentale ; Découpage par usages ; Méthode moyenne
Electricité;2020 - usage : Transports;consommation;Info GES,Electricité,France continentale,transport;kgCO2e/kWh;;30;0,0601;Electricité ; Mix réseau électrique ; France continentale ; Découpage par usages ; Méthode moyenne
Electricité;photovoltaïque / Fabrication Chine Par défaut utilisé en France;Fabrication Chine Par défaut utilisé en France;Moyen de production d'électricité.photovoltaïque;kgCO2e/kWh;;30;0,0439;Electricité ; Moyen de production ; Renouvelables;;
Electricité;photovoltaïque / Fabrication Europe;Fabrication Europe;Moyen de production d'électricité.photovoltaïque;kgCO2e/kWh;;30;0,0323;Electricité ; Moyen de production ; Renouvelables;;
Electricité;photovoltaïque / Fabrication France;Fabrication France;Moyen de production d'électricité.photovoltaïque;kgCO2e/kWh;;30;0,0252;Electricité ; Moyen de production ; Renouvelables;;
Essence;E10;;combustible liquide,essence,essence E10,Info GES;kgCO2e/litre;;10;2,7;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
Essence;E10;;combustible liquide,essence,essence E10;kgCO2e/kg;;5;3,61;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
Essence;E85;;combustible liquide,essence,essence E85,Info GES;kgCO2e/litre;;10;1,11;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
Essence;E85;;combustible liquide,essence,essence E85;kgCO2e/tonne;;5;1481;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
Essence aviation AvGas;;;combustible liquide,essence aviation avgas;kgCO2e/kg;;5;3,79;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage aérien
Essence aviation AvGas;;;combustible liquide,essence aviation avgas,Info GES;kgCO2e/litre;;5;3,01;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage aérien
Fioul domestique;;;combustible liquide,Fioul domestique;kgCO2e/kg;;5;3,85;Combustibles ; Fossiles ; Liquides ; Usage source fixe; Usage routier ou non-routier
Fioul domestique;;;combustible liquide,Fioul domestique;kgCO2e/litre;;5;3,25;Combustibles ; Fossiles ; Liquides ; Usage source fixe; Usage routier ou non-routier
Fioul Lourd;commercial;;combustible liquide,fioul lourd;kgCO2e/kg;;5;3,64;Combustibles ; Fossiles ; Liquides ; Usage source fixe; Usage routier ou non-routier
Fioul Lourd;commercial;;combustible liquide,fioul lourd;kgCO2e/litre;;5;3,28;Combustibles ; Fossiles ; Liquides ; Usage source fixe; Usage routier ou non-routier
Gaz naturel;;;combustible gazeux,gaz naturel;kgCO2e/m3;Type H, France continentale sauf nord;5;2,53;Combustibles ; Fossiles ; Gazeux ; Gaz naturel; Usage routier ou non-routier
Gaz naturel - 2015;mix moyen;consommation;combustible gazeux,gaz naturel;kgCO2e/m3;France;5;2,2;Combustibles ; Fossiles ; Gazeux ; Gaz naturel; Usage routier ou non-routier
Gazole;B30;;combustible liquide,Gazole,gasoil,diesel,gazole B30;kgCO2e/tonne;;5;3527;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
Gazole;B30;;combustible liquide,Gazole,gasoil,diesel,gazole B30,Info GES;kgCO2e/litre;;10;2,64;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
Gazole non routier;GNR;;combustible liquide,Gazole,gasoil,diesel,gazole non routier,Info GES;kgCO2e/kg;;10;3,77;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
Gazole non routier;GNR;;combustible liquide,Gazole,gasoil,diesel,gazole non routier,Info GES;kgCO2e/litre;;10;3,16;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
Gazole routier;B10;;combustible liquide,Gazole,gasoil,diesel,B10;kgCO2e/Litre;;5;3,04;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
Gazole routier;B100;;combustible liquide,Gazole,gasoil,diesel,B100;kgCO2e/Litre;;5;1,21;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
Gazole routier;B7;;combustible liquide,Gazole,gasoil,diesel,gazole routier,Info GES;kgCO2e/litre;;10;3,1;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
Gazole routier;B7;;combustible liquide,Gazole,gasoil,diesel;kgCO2e/tonne;;5;4153;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
GNC, Gaz Naturel Comprimé pour véhicule routier;;;GNV,gaz naturel véhicule,GNC,Gaz Naturel Comprimé;kgCO2e/kg;;10;2,96;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
GNC, Gaz Naturel Comprimé pour véhicule routier;;;GNV,gaz naturel véhicule,GNC,Gaz Naturel Comprimé;kgCO2e/m3;;10;2,33;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
GNL, Gaz Naturel Liquéfié;inclus routier, maritime et fluvial;;combustible liquide,GNL,gaz naturel liquéfié;kgCO2e/Litre;;5;2,15;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
GNL, Gaz Naturel Liquéfié;inclus routier, maritime et fluvial;;combustible liquide,GNL,gaz naturel liquéfié;kgCO2e/kg;;5;3,28;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
GPL pour véhicule routier;;;combustible liquide,GPL,gaz de pétrole liquefié;kgCO2e/kg;;5;3,45;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
GPL pour véhicule routier;;;combustible liquide,GPL,gaz de pétrole liquefié,Info GES;kgCO2e/litre;;5;1,86;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage routier ou non-routier
Granulés;Blancs français issus de connexe de scierie;;biocombustible,bois,Granulés;kgCO2e/kg;;25;0,0469;Combustibles ; Organiques ; Solides;;
HFO Heavy Fuel Oil;ISO 8217 classes RME à RMK;;combustible liquide,HFO heavy fuel oil,Info GES;kgCO2e/kg;;5;3,64;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage maritime et fluvial
HFO Heavy Fuel Oil;ISO 8217 classes RME à RMK;;combustible liquide,HFO heavy fuel oil;kgCO2e/litre;;5;2,93;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage maritime et fluvial
Houille;PCS supérieur à 23865 kJ/kg;;combustible solide,charbon,houille;kgCO2e/kg;;20;3,36;Combustibles ; Fossiles ; Solides ; Charbons;
Kérosène;jet A1 ou A;;combustible liquide,kérosène jet a1 ou a;kgCO2e/kg;;5;3,82;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage aérien
Kérosène;jet A1 ou A;;combustible liquide,kérosène jet a1 ou a,Info GES;kgCO2e/litre;;5;3,08;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage aérien
LFO Light Fuel Oil;ISO 8217 classes RMA à RMD maritime;;combustible liquide,LFO light fuel oil,Info GES;kgCO2e/kg;;5;3,85;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage maritime et fluvial
LFO Light Fuel Oil;ISO 8217 classes RMA à RMD maritime;;combustible liquide,LFO light fuel oil;kgCO2e/litre;;5;3,05;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage maritime et fluvial
Lignite;PCS inférieur à 17435 kJ/kg;;combustible solide,charbon,lignite;kgCO2e/kg;;20;1,87;Combustibles ; Fossiles ; Solides ; Charbons;
MDO Marine Diesel Oil;ISO 8217 classes DMX à DMC;;combustible liquide,MDO marine diesel oil,Info GES;kgCO2e/kg;;5;3,85;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage maritime et fluvial
MDO Marine Diesel Oil;ISO 8217 classes DMX à DMC;;combustible liquide,MDO marine diesel oil;kgCO2e/litre;;5;3,05;Combustibles ; Fossiles ; Liquides ; Usage sources mobiles ; Usage maritime et fluvial
Pétrole Brut;;;combustible liquide,pétrole brut;kgCO2e/kg;;5;3,34;Combustibles ; Fossiles ; Liquides ; Pétrole brut; Usage routier ou non-routier
Plaquettes forestières;Humides 45% humidité;;biocombustible,bois,Plaquettes forestières;kgCO2e/kg;;25;0,0311;Combustibles ; Organiques ; Solides;;
Plaquettes forestières;Sèches 25% humidité;;biocombustible,bois,Plaquettes forestières,;kgCO2e/kg;;25;0,0503;Combustibles ; Organiques ; Solides;;
Propane;inclus maritime;;Propane,combustible liquide,Info GES;kgCO2e/kg;;5;3,46;Combustibles ; Fossiles ; Gazeux ; Propane et butane; Usage routier ou non-routier
Propane;inclus maritime;;Propane,combustible liquide;kgCO2e/litre;;5;1,8;Combustibles ; Fossiles ; Gazeux ; Propane et butane; Usage routier ou non-routier
Réseau de chaleur;"""16, Soyaux, Réseau """"Champ de manœuvre""""""";2021;"""Réseau de chaleur,Réseau """"Champ de manœuvre"""",Soyaux""";kgCO2e/kWh;Poitou-Charente, Soyaux;30;0,228;Réseaux de chaleur / froid ; Poitou-Charentes;;;
Réseau de chaleur;"""31, Toulouse, Réseau """"Saint Exupéry""""""";2021;"""Réseau de chaleur,Réseau """"Saint Exupéry"""",Toulouse""";kgCO2e/kWh;Midi-Pyrénées, Toulouse;30;0,222;Réseaux de chaleur / froid ; Midi-Pyrénées;;;
Réseau de chaleur;1, BELLEY, Belena;2021;Réseau de chaleur,Belena,BELLEY;kgCO2e/kWh;Rhône-Alpes, BELLEY;30;0,061;Réseaux de chaleur / froid ; Rhône-Alpes ; 1. Ain;;
Réseau de chaleur;1, BOURG-EN-BRESSE, Bourg-en-Bresse - La Vinaigrerie;2021;Réseau de chaleur,Bourg-en-Bresse,Bourg-en-Bresse - La Vinaigrerie;kgCO2e/kWh;Rhône-Alpes, BOURG-EN-BRESSE;30;0,067;Réseaux de chaleur / froid ; Rhône-Alpes ; 1. Ain;;
Réseau de chaleur;1, Bourg-en-Bresse, Quartier de La Reyssouze;2021;Réseau de chaleur,Bourg-en-Bresse,Quartier de La Reyssouze;kgCO2e/kWh;Rhône-Alpes, Bourg-en-Bresse;30;0,194;Réseaux de chaleur / froid ; Rhône-Alpes ; 1. Ain;;
Réseau de chaleur;1, Bourg-en-Bresse, Réseau de chaleur ASSURC à Bourg-en-Bresse;2021;Réseau de chaleur,Bourg-en-Bresse,Réseau de chaleur ASSURC à Bourg-en-Bresse;kgCO2e/kWh;Rhône-Alpes, Bourg-en-Bresse;30;0,224;Réseaux de chaleur / froid ; Rhône-Alpes ; 1. Ain;;
Réseau de chaleur;1, DORTAN, Réseau chauffage DORTAN;2021;Réseau de chaleur,Réseau chauffage DORTAN,DORTAN;kgCO2e/kWh;Rhône-Alpes, DORTAN;30;0,094;Réseaux de chaleur / froid ; Rhône-Alpes ; 1. Ain;;
Réseau de chaleur;1, Oyonnax, Oyonnax BioChaleur;2021;Réseau de chaleur,Oyonnax,Oyonnax BioChaleur;kgCO2e/kWh;Rhône-Alpes, Oyonnax;30;0,095;Réseaux de chaleur / froid ; Rhône-Alpes ; 1. Ain;;
Réseau de chaleur;1, SAINT-DENIS-LES-BOURG, Réseau de saint-denis-les-bourg;2021;Réseau de chaleur,SAINT-DENIS-LES-BOURG,Réseau de saint-denis-les-bourg;kgCO2e/kWh;Rhône-Alpes, SAINT-DENIS-LES-BOURG;30;0,085;Réseaux de chaleur / froid ; Rhône-Alpes ; 1. Ain;;
Réseau de chaleur;1, TREFFORT-CUISIAT, xavier chirol;2021;Réseau de chaleur,TREFFORT-CUISIAT,xavier chirol;kgCO2e/kWh;Rhône-Alpes, TREFFORT-CUISIAT;30;0,073;Réseaux de chaleur / froid ; Rhône-Alpes ; 1. Ain;;
Réseau de chaleur;10, LES NOES-PRES-TROYES, Zup de la Chapelle Saint-Luc;2021;Réseau de chaleur,Zup de la Chapelle Saint-Luc,LES NOES-PRES-TROYES;kgCO2e/kWh;Champagne-Ardenne, LES NOES-PRES-TROYES;30;0,271;Réseaux de chaleur / froid ; Champagne-Ardenne;;;
Réseau de chaleur;10, PINEY, Biomasse de Piney;2021;Réseau de chaleur,PINEY,Biomasse de Piney;kgCO2e/kWh;Champagne-Ardenne, PINEY;30;0,151;Réseaux de chaleur / froid ; Champagne-Ardenne;;;
Réseau de chaleur;10, Troyes, Les Chartreux;2021;Réseau de chaleur,Troyes,Les Chartreux;kgCO2e/kWh;Champagne-Ardenne, Troyes;30;0,11;Réseaux de chaleur / froid ; Champagne-Ardenne;;;
Réseau de chaleur;11, CARCASSONNE, CEF - MCO;2021;Réseau de chaleur,Carcassonne,CEF - MCO;kgCO2e/kWh;Languedoc-Roussillon, CARCASSONNE;30;0,165;Réseaux de chaleur / froid ; Languedoc-Roussillon;;;
Réseau de chaleur;11, Narbonne, Zac Saint Jean et & Saint Pierre;2021;Réseau de chaleur,Narbonne,Zac Saint Jean et & Saint Pierre;kgCO2e/kWh;Languedoc-Roussillon, Narbonne;30;0,125;Réseaux de chaleur / froid ; Languedoc-Roussillon;;;
Réseau de chaleur;12, CAPDENAC-GARE, RESEAU DE CAPDENAC-GARE;2021;Réseau de chaleur,RESEAU DE CAPDENAC-GARE,CAPDENAC-GARE;kgCO2e/kWh;Midi-Pyrénées, CAPDENAC-GARE;30;0,028;Réseaux de chaleur / froid ; Midi-Pyrénées;;;
Réseau de chaleur;12, Cransac, Réseau de Cransac;2021;Réseau de chaleur,Réseau de Cransac,Cransac;kgCO2e/kWh;Midi-Pyrénées, Cransac;30;0,056;Réseaux de chaleur / froid ; Midi-Pyrénées;;;
Réseau de chaleur;12, Decazeville, Réseau de Decazeville;2021;Réseau de chaleur,Decazeville,Réseau de Decazeville;kgCO2e/kWh;Midi-Pyrénées, Decazeville;30;0,07;Réseaux de chaleur / froid ; Midi-Pyrénées;;;
Réseau de chaleur;12, ONET-LE-CHATEAU, Réseau de Cantagrelh;2021;Réseau de chaleur,ONET-LE-CHATEAU,Réseau de Cantagrelh;kgCO2e/kWh;Midi-Pyrénées, ONET-LE-CHATEAU;30;0,22;Réseaux de chaleur / froid ; Midi-Pyrénées;;;
Réseau de chaleur;12, Rodez, Réseau Sarrus;2021;Réseau de chaleur,Rodez,Réseau Sarrus;kgCO2e/kWh;Midi-Pyrénées, Rodez;30;0,291;Réseaux de chaleur / froid ; Midi-Pyrénées;;;
Réseau de chaleur;12, SAINT AFFRIQUE, Réseau de Saint Affrique;2021;Réseau de chaleur,Réseau de Saint Affrique,SAINT AFFRIQUE;kgCO2e/kWh;Midi-Pyrénées, SAINT AFFRIQUE;30;0,194;Réseaux de chaleur / froid ; Midi-Pyrénées;;;
Réseau de chaleur;13, Aix-en-Provence, Aix-en-Provence;2021;Réseau de chaleur,Aix-en-Provence;kgCO2e/kWh;Provence-Alpes-Côte d'Azur, Aix-en-Provence;30;0,125;Réseaux de chaleur / froid ; Provence-Alpes-Côte d'Azur;;;
Réseau de chaleur;13, COUDOUX, Réseaux  de Coudoux;2021;Réseau de chaleur,COUDOUX,Réseaux  de Coudoux;kgCO2e/kWh;Provence-Alpes-Côte d'Azur, COUDOUX;30;0,093;Réseaux de chaleur / froid ; Provence-Alpes-Côte d'Azur;;;
Réseau de chaleur;13, Gardanne, Réseau du pôle Yvon Morandat;2021;Réseau de chaleur,Réseau du pôle Yvon Morandat,Gardanne;kgCO2e/kWh;Provence-Alpes-Côte d'Azur, Gardanne;30;0,034;Réseaux de chaleur / froid ; Provence-Alpes-Côte d'Azur;;;
Réseau de chaleur;13, ISTRES, La Bayanne;2021;Réseau de chaleur,La Bayanne,ISTRES;kgCO2e/kWh;Provence-Alpes-Côte d'Azur, ISTRES;30;0,101;Réseaux de chaleur / froid ; Provence-Alpes-Côte d'Azur;;;
Réseau de chaleur;13, marseille, BET MASSILEO chaud;2021;Réseau de chaleur,marseille,BET MASSILEO chaud;kgCO2e/kWh;Provence-Alpes-Côte d'Azur, marseille;30;0,034;Réseaux de chaleur / froid ; Provence-Alpes-Côte d'Azur;;;
Réseau de chaleur;13, MARSEILLE, LUMINY;2021;Réseau de chaleur,marseille,LUMINY;kgCO2e/kWh;Provence-Alpes-Côte d'Azur, MARSEILLE;30;0,355;Réseaux de chaleur / froid ; Provence-Alpes-Côte d'Azur;;;
Réseau de chaleur;13, MARSEILLE, Réseau Castellane Bricarde;2021;Réseau de chaleur,marseille,Réseau Castellane Bricarde;kgCO2e/kWh;Provence-Alpes-Côte d'Azur, MARSEILLE;30;0,212;Réseaux de chaleur / froid ; Provence-Alpes-Côte d'Azur;;;
