Structure;Poste;Nom base français;Spécificité 1;Spécificité 2;Tags français;Unité français;Localisation géographique;Incertitude;Total poste non décomposé;Code de la catégorie;Sous catégorie 1;Sous catégorie 2;Sous catégorie 3;Sous catégorie 4
élément décomposé par poste;Poste 12;Articulé;< 34 tonnes;Diesel routier, incorporation 7 % de biodiesel;camion,fret,Articulé;kgCO2e/t.km;France continentale;70;0,0853;Transport de marchandises ; Routier ; Par catégorie ; Articulé par motorisation;
élément décomposé par poste;Poste 10;Aspirateur ménager;avec sac;;électroménager,Aspirateur ménager,avec sac;kgCO2e/unité;France continentale;30;47,3;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Aspirateur ménager;sans sac;;,électroménager,Aspirateur ménager,sans sac;kgCO2e/unité;France continentale;30;52,4;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Aspirateur professionnel;à traineaux;;électroménager,Aspirateur professionnel;kgCO2e/unité;France continentale;30;83;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Postes 13 et 23;Autobus;Electrique;;autobus,Electrique,bus;kgCO2e/passager.km;France continentale;70;0,0217;Transport de personnes ; Routier ; Autobus - Autocar ; Par type de motorisation;
élément décomposé par poste;Postes 13 et 23;Autobus;Gazole;;Gazole,autobus,bus;kgCO2e/passager.km;France continentale;60;0,113;Transport de personnes ; Routier ; Autobus - Autocar ; Par type de motorisation;
élément décomposé par poste;Postes 13 et 23;Autobus;GNV;;GNV,autobus,bus;kgCO2e/passager.km;France continentale;60;0,122;Transport de personnes ; Routier ; Autobus - Autocar ; Par type de motorisation;
élément décomposé par poste;Postes 13 et 23;Autobus;Hybride parallèle;;autobus,bus,Hybride parallèle;kgCO2e/passager.km;France continentale;70;0,0743;Transport de personnes ; Routier ; Autobus - Autocar ; Par type de motorisation;
élément décomposé par poste;Postes 13 et 23;Autobus;Hybride série;;autobus,bus,Hybride série;kgCO2e/passager.km;France continentale;70;0,0711;Transport de personnes ; Routier ; Autobus - Autocar ; Par type de motorisation;
élément décomposé par poste;Postes 13 et 23;Autobus moyen;Agglomération de 100 000 à 250 000 habitants;;autobus,bus,Agglomération de 100 000 à 250 000 habitants;kgCO2e/passager.km;France continentale;60;0,147;Transport de personnes ; Routier ; Autobus - Autocar ; Moyenne :Parc - Toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Autobus moyen;Agglomération de plus de 250 000 habitants;;autobus,bus,Agglomération de plus de 250 000 habitants;kgCO2e/passager.km;France continentale;60;0,151;Transport de personnes ; Routier ; Autobus - Autocar ; Moyenne :Parc - Toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Autobus moyen;Agglomération moins de 100 000 habitants;;autobus,bus,Agglomération moins de 100 000 habitants;kgCO2e/passager.km;France continentale;60;0,202;Transport de personnes ; Routier ; Autobus - Autocar ; Moyenne :Parc - Toutes motorisations;
élément décomposé par poste;Postes 13 et 23;Autocar;Gazole;;Gazole,autocar;kgCO2e/passager.km;France continentale;60;0,0295;Transport de personnes ; Routier ; Autobus - Autocar ; Par type de motorisation;
élément non décomposé;Poste 9;Autres acides et sels d'acides;/;/;viticulture,sels d'acides;kgCO2e/tonne;France continentale;50;3300;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément décomposé par poste et par gaz;Poste 12;Avion cargo;10 à 25 tonnes, 500 - 1000 kms, 2018;AVEC trainées;Avion,fret,trainées;kgCO2e/t.km;France continentale;70;3,47;Transport de marchandises ; Aérien ; Avion Cargo ; 10 - 25 t : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion cargo;10 à 25 tonnes, 500 - 1000 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,9;Transport de marchandises ; Aérien ; Avion Cargo ; 10 - 25 t : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion cargo;10 à 25 tonnes, <500 kms, 2018;AVEC trainées;Avion,fret,trainées;kgCO2e/t.km;France continentale;70;3,1;Transport de marchandises ; Aérien ; Avion Cargo ; 10 - 25 t : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion cargo;10 à 25 tonnes, <500 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,7;Transport de marchandises ; Aérien ; Avion Cargo ; 10 - 25 t : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion cargo;26 à 100 tonnes, 500 - 1000 kms, 2018;AVEC trainées;Avion,fret,trainées;kgCO2e/t.km;France continentale;70;3,45;Transport de marchandises ; Aérien ; Avion Cargo ; 26 - 100 t : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion cargo;26 à 100 tonnes, 500 - 1000 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,89;Transport de marchandises ; Aérien ; Avion Cargo ; 26 - 100 t : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion cargo;26 à 100 tonnes, <500 kms, 2018;AVEC trainées;Avion,fret,trainées;kgCO2e/t.km;France continentale;70;5,43;Transport de marchandises ; Aérien ; Avion Cargo ; 26 - 100 t : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion cargo;26 à 100 tonnes, <500 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;2,97;Transport de marchandises ; Aérien ; Avion Cargo ; 26 - 100 t : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion cargo;Plus de 100 tonnes, 1000 - 3500 kms, 2018;AVEC trainées;Avion,fret,trainées;kgCO2e/t.km;France continentale;70;1,74;Transport de marchandises ; Aérien ; Avion Cargo ; ;100 t : détail par kms parcourus
élément décomposé par poste et par gaz;Poste 12;Avion cargo;Plus de 100 tonnes, 1000 - 3500 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;0,951;Transport de marchandises ; Aérien ; Avion Cargo ; ;100 t : détail par kms parcourus
élément décomposé par poste et par gaz;Poste 12;Avion cargo;Plus de 100 tonnes, 500 - 1000 kms, 2018;AVEC trainées;Avion,fret,trainées;kgCO2e/t.km;France continentale;70;2,56;Transport de marchandises ; Aérien ; Avion Cargo ; ;100 t : détail par kms parcourus
élément décomposé par poste et par gaz;Poste 12;Avion cargo;Plus de 100 tonnes, 500 - 1000 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,4;Transport de marchandises ; Aérien ; Avion Cargo ; ;100 t : détail par kms parcourus
élément décomposé par poste et par gaz;Poste 12;Avion cargo;Plus de 100 tonnes, <500 kms, 2018;AVEC trainées;Avion,fret,trainées;kgCO2e/t.km;France continentale;70;3,47;Transport de marchandises ; Aérien ; Avion Cargo ; ;100 t : détail par kms parcourus
élément décomposé par poste et par gaz;Poste 12;Avion cargo;Plus de 100 tonnes, <500 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,9;Transport de marchandises ; Aérien ; Avion Cargo ; ;100 t : détail par kms parcourus
élément décomposé par poste et par gaz;Poste 12;Avion cargo;Plus de 100 tonnes, >3500 kms, 2018;AVEC trainées;Avion,fret,trainées;kgCO2e/t.km;France continentale;70;1,08;Transport de marchandises ; Aérien ; Avion Cargo ; ;100 t : détail par kms parcourus
élément décomposé par poste et par gaz;Poste 12;Avion cargo;Plus de 100 tonnes, >3500 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;0,591;Transport de marchandises ; Aérien ; Avion Cargo ; ;100 t : détail par kms parcourus
élément décomposé par poste et par gaz;Poste 12;Avion passagers;101-220 sièges, 1000-3500 kms, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;1,86;Transport de marchandises ; Aérien ; Avion passager ; Capacité 102-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;101-220 sièges, 1000-3500 kms, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,186;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 101-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;101-220 sièges, 1000-3500 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,02;Transport de marchandises ; Aérien ; Avion passager ; Capacité 102-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;101-220 sièges, 1000-3500 kms, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,102;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 101-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;101-220 sièges, 500-1000 kms, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;2,3;Transport de marchandises ; Aérien ; Avion passager ; Capacité 102-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;101-220 sièges, 500-1000 kms, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,23;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 101-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;101-220 sièges, 500-1000 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,26;Transport de marchandises ; Aérien ; Avion passager ; Capacité 102-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;101-220 sièges, 500-1000 kms, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,126;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 101-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;101-220 sièges, <500 kms jet, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;3,05;Transport de marchandises ; Aérien ; Avion passager ; Capacité 102-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;101-220 sièges, <500 kms jet, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,305;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 101-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;101-220 sièges, <500 kms jet, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,67;Transport de marchandises ; Aérien ; Avion passager ; Capacité 102-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;101-220 sièges, <500 kms jet, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,167;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 101-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;101-220 sièges, >3500 kms, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;2,1;Transport de marchandises ; Aérien ; Avion passager ; Capacité 102-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;101-220 sièges, >3500 kms, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,21;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 101-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;101-220 sièges, >3500 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,15;Transport de marchandises ; Aérien ; Avion passager ; Capacité 102-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;101-220 sièges, >3500 kms, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,115;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 101-220 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;20-50 sièges, 1000-3500 kms, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;5,19;Transport de marchandises ; Aérien ; Avion passager ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;20-50 sièges, 1000-3500 kms, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,519;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;20-50 sièges, 1000-3500 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;2,84;Transport de marchandises ; Aérien ; Avion passager ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;20-50 sièges, 1000-3500 kms, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,284;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;20-50 sièges, 500-1000 kms, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;4,09;Transport de marchandises ; Aérien ; Avion passager ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;20-50 sièges, 500-1000 kms, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,409;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;20-50 sièges, 500-1000 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;2,24;Transport de marchandises ; Aérien ; Avion passager ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;20-50 sièges, 500-1000 kms, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,224;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;20-50 sièges, <500 kms jet, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;5,27;Transport de marchandises ; Aérien ; Avion passager ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;20-50 sièges, <500 kms jet, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,527;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;20-50 sièges, <500 kms jet, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;2,89;Transport de marchandises ; Aérien ; Avion passager ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;20-50 sièges, <500 kms jet, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,289;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;20-50 sièges, <500 kms turboprop, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;3,66;Transport de marchandises ; Aérien ; Avion passager ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;20-50 sièges, <500 kms turboprop, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,366;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;20-50 sièges, <500 kms turboprop, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;2;Transport de marchandises ; Aérien ; Avion passager ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;20-50 sièges, <500 kms turboprop, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,2;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 20-50 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;51-100 sièges, 1000-3500 kms, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;2,65;Transport de marchandises ; Aérien ; Avion passager ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;51-100 sièges, 1000-3500 kms, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,265;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;51-100 sièges, 1000-3500 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,45;Transport de marchandises ; Aérien ; Avion passager ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;51-100 sièges, 1000-3500 kms, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,145;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;51-100 sièges, 500-1000 kms, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;3,36;Transport de marchandises ; Aérien ; Avion passager ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;51-100 sièges, 500-1000 kms, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,336;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;51-100 sièges, 500-1000 kms, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,84;Transport de marchandises ; Aérien ; Avion passager ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;51-100 sièges, 500-1000 kms, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,184;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;51-100 sièges, <500 kms  jet, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;4,42;Transport de marchandises ; Aérien ; Avion passager ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;51-100 sièges, <500 kms  jet, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,441;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;51-100 sièges, <500 kms  jet, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;2,42;Transport de marchandises ; Aérien ; Avion passager ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;51-100 sièges, <500 kms  jet, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,241;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;51-100 sièges, <500 kms  turboprop, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;2,59;Transport de marchandises ; Aérien ; Avion passager ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;51-100 sièges, <500 kms  turboprop, 2018;AVEC trainées;Avion;kgCO2e/peq.km;France continentale;70;0,259;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;51-100 sièges, <500 kms  turboprop, 2018;SANS trainées;Avion,fret;kgCO2e/t.km;France continentale;10;1,42;Transport de marchandises ; Aérien ; Avion passager ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Postes 13 et 23;Avion passagers;51-100 sièges, <500 kms  turboprop, 2018;SANS trainées;Avion;kgCO2e/peq.km;France continentale;10;0,142;Transport de personnes ; Aérien ; Par capacité d'avion ; Capacité 51-100 sièges : détail par kms parcourus;
élément décomposé par poste et par gaz;Poste 12;Avion passagers;>220 sièges, 1000-3500 kms, 2018;AVEC trainées;Avion,fret;kgCO2e/t.km;France continentale;70;1,78;Transport de marchandises ; Aérien ; Avion passager ; Capacité ;220 sièges : détail par kms parcourus
